"Story","Title","Result","Date","Stability","Duration (s)"
"Second serenity test","File does not exist","COMPROMISED","2019-06-03T23:17:49.757-07:00","0.0","0.23"
"First serenity test","File does not exist","COMPROMISED","2019-06-03T23:17:53.532-07:00","0.0","0.16"
"Second serenity test","Get all students","SUCCESS","2019-06-03T23:17:49.990-07:00","0.0","0.18"
"First serenity test","Get all students","SUCCESS","2019-06-03T23:17:53.698-07:00","0.0","0.23"
"Second serenity test","This is a manual test","PENDING","2019-06-03T23:17:49.152-07:00","0.0","0.26"
"First serenity test","This is a manual test","PENDING","2019-06-03T23:17:53.128-07:00","0.0","0.18"
"Second serenity test","This is a pending test","PENDING","2019-06-03T23:17:48.894-07:00","0.0","0.23"
"First serenity test","This is a pending test","PENDING","2019-06-03T23:17:52.934-07:00","0.0","0.19"
"Second serenity test","This is a skipped test","IGNORED","2019-06-03T23:17:41.658-07:00","0.0","0.69"
"First serenity test","This is a skipped test","IGNORED","2019-06-03T23:17:52.393-07:00","0.0","0.17"
"Second serenity test","This is atest with error","ERROR","2019-06-03T23:17:42.708-07:00","0.0","0.28"
"First serenity test","This is atest with error","ERROR","2019-06-03T23:17:52.564-07:00","0.0","0.14"
"Second serenity test","This isa failing","FAILURE","2019-06-03T23:17:49.415-07:00","0.0","0.33"
"First serenity test","This isa failing","FAILURE","2019-06-03T23:17:53.318-07:00","0.0","0.21"
"Students CRUD test","This test will create a new student","SUCCESS","2019-06-03T23:17:54.053-07:00","0.0","0.71"
"Second serenity test","This test will get the information of all the students from the Student App","SUCCESS","2019-06-03T23:17:43.026-07:00","0.0","5.86"
"First serenity test","This test will get the information of all the students from the Student App","SUCCESS","2019-06-03T23:17:52.704-07:00","0.0","0.21"
"Students CRUD test","Verify if the student was added to the application","ERROR","2019-06-03T23:17:54.764-07:00","0.0","0.78"
